group,A,B,C,D
Aurand Run connection to P1,102.6230164,50.07387589,201.4558127,274.9647339
Aurand Run downstream,62.18343511,331.0914697,274.2084178,331.1929501
Aurand Run upstream,295.9766219,95.73149351,214.8250412,188.2607871
Wetland Pool 1,145.0221553,251.9720179,110.194439,302.0136747
Wetland Pool 11,68.28451516,204.2324386,81.50643638,249.487956
Wetland Pool 12,197.739854,292.7235091,124.816691,74.47564119
Wetland Pool 14,211.4699802,103.0850396,223.1151255,118.3985167
Wetland Pool 15,336.3371759,149.0227062,251.924058,273.197832
Wetland Pool 16,176.0771547,146.5037789,202.5126314,69.60498152
Wetland Pool 18,228.7701554,139.9501046,207.6805316,154.6539505
Wetland Pool 19,309.1967458,57.33259126,102.5123376,250.9936727
Wetland Pool 2,274.1300386,168.8275974,328.9992803,184.2142716
Wetland Pool 20,205.7966036,93.65068342,305.0226322,158.6789712
Wetland Pool 21,193.8458616,329.9752767,283.3965403,89.42216045
Wetland Pool 22,91.94221893,120.0392648,56.31347791,236.5299894
Wetland Pool 24,136.5979255,299.9504967,59.56798465,243.2229765
Wetland Pool 25,172.2831192,343.9124902,241.9100644,307.1670609
Wetland Pool 26,245.9205619,277.0309467,300.6266056,341.3744988
Wetland Pool 27,269.4435357,83.78711481,224.4240021,89.64517896
Wetland Pool 28,311.0948789,254.0104912,226.8384447,159.222554
Wetland Pool 29,89.55077066,63.52569267,288.2830317,171.9402001
Wetland Pool 3,250.2806593,241.7672211,136.356729,291.9096362
Wetland Pool 30,246.7112199,343.4782317,106.0974821,199.3630535
Wetland Pool 31,125.0344428,107.7544553,174.8927685,310.920477
Wetland Pool 33,143.6079029,105.3800371,100.0391191,53.97939223
Wetland Pool 34,260.6688997,230.3863572,226.9823424,227.0500576
Wetland Pool 35,347.8525756,134.8252322,230.86485,279.5909693
Wetland Pool 36,135.664001,319.2098517,110.8663696,61.62610856
Wetland Pool 37,193.7363609,146.4754981,344.2972354,160.325663
Wetland Pool 38,330.0994646,239.0861443,213.8566136,106.5075489
Wetland Pool 39,55.89725378,88.53046185,332.5879238,51.39057053
Wetland Pool 4,193.8079876,231.3118539,347.6002204,198.9028038
Wetland Pool 40,320.9611207,98.17108771,301.9484437,77.93652959
Wetland Pool 41,120.0139354,114.5929298,152.9716508,82.56692062
Wetland Pool 42,66.70443194,223.0030741,147.7255851,137.6604391
Wetland Pool 43,127.2347266,191.3352974,110.531641,348.1025962
Wetland Pool 5,255.5090003,83.05297203,215.8463422,185.8518883
Wetland Pool 7,236.6045695,346.6039223,194.8932705,333.5268451
Wetland Pool 8,250.0682848,344.9707379,293.934361,71.98954827
Wetland Pool 9,98.04617637,248.4780888,348.651165,250.3620481
Wetland Pool 6,283.764335,238.1720246,247.7441376,141.122382
Wetland Pool 13,198.8304743,208.4526136,291.1644667,90.33091351
Wetland Pool 10,98.62379445,128.9008312,278.2293452,183.6212815
Wetland Pool 17,222.4395807,226.6520133,293.2672897,134.9768276
Wetland Pool 32,128.6509308,275.4077629,262.8411418,319.5202351
