group,A,B,C,D
Aurand Run connection to P1,1.445270508,0.043854889,0.063544067,0.075130401
Aurand Run downstream,1.289616465,0.084526792,0.077954938,0.028938957
Aurand Run upstream,1.170545349,0.083038141,0.059823131,0.038275802
Wetland Pool 1,1.815736259,0.04417773,0.044266117,0.068170093
Wetland Pool 11,0.708342227,0.068132837,0.04598356,0.071250242
Wetland Pool 12,0.741986357,0.072085058,0.016181813,0.066128533
Wetland Pool 14,1.137548208,0.067230914,0.017822053,0.088443696
Wetland Pool 15,0.986305345,0.053778291,0.017850134,0.056787054
Wetland Pool 16,1.898893972,0.050257728,0.022063199,0.042018301
Wetland Pool 18,0.252447445,0.092089774,0.054205503,0.085429269
Wetland Pool 19,0.474546268,0.022398363,0.044412334,0.04562169
Wetland Pool 2,1.105736005,0.077915386,0.014808469,0.08263885
Wetland Pool 20,0.524213636,0.100417882,0.027834611,0.079973409
Wetland Pool 21,0.989529481,0.108676002,0.061101454,0.046357674
Wetland Pool 22,0.734319033,0.026016992,0.027634617,0.095323733
Wetland Pool 24,2.062874466,0.053474909,0.064269397,0.029487249
Wetland Pool 25,1.958103906,0.096309521,0.01053757,0.075212114
Wetland Pool 26,1.125306693,0.019433465,0.010371407,0.029285174
Wetland Pool 27,1.95414293,0.104526805,0.055895626,0.090802594
Wetland Pool 28,0.67902861,0.071405837,0.01073936,0.072417651
Wetland Pool 29,1.365444297,0.043167734,0.037414327,0.081884779
Wetland Pool 3,0.900358057,0.028930848,0.054768529,0.035825989
Wetland Pool 30,0.797718962,0.090450836,0.065660046,0.054068464
Wetland Pool 31,0.805228303,0.035151797,0.015970166,0.034830812
Wetland Pool 33,2.091923733,0.024235841,0.027465755,0.044695161
Wetland Pool 34,1.455144144,0.034552105,0.034006075,0.082262492
Wetland Pool 35,1.285153197,0.07916765,0.011563274,0.025117335
Wetland Pool 36,1.639892275,0.023597719,0.046646004,0.038629503
Wetland Pool 37,1.009027275,0.018576822,0.011782044,0.077662281
Wetland Pool 38,1.536773897,0.021206544,0.048908232,0.079310942
Wetland Pool 39,1.511316804,0.050218987,0.017190707,0.013119585
Wetland Pool 4,0.841099106,0.037124879,0.069062492,0.090606743
Wetland Pool 40,1.182523084,0.079120382,0.040321745,0.047424981
Wetland Pool 41,0.885203828,0.01301227,0.022871086,0.041958664
Wetland Pool 42,1.209887975,0.088114763,0.071912194,0.06350407
Wetland Pool 43,0.861639745,0.068877029,0.053313594,0.102557194
Wetland Pool 5,1.377097431,0.073589134,0.037296279,0.020382106
Wetland Pool 7,0.269108094,0.060588173,0.016489706,0.097861191
Wetland Pool 8,0.671343169,0.039249664,0.045384738,0.104025049
Wetland Pool 9,1.678478271,0.034248115,0.02496048,0.018402914
Wetland Pool 6,1.541857675,0.063153274,0.062983802,0.104397891
Wetland Pool 13,0.64413823,0.09451187,0.036300167,0.032584482
Wetland Pool 10,0.203343011,0.04242717,0.02079349,0.063776747
Wetland Pool 17,0.65613091,0.101597872,0.072958928,0.028688607
Wetland Pool 32,1.871652207,0.052157534,0.028653065,0.082849593
