group,A,B,C,D
Aurand Run connection to P1,0.055955096,0.249156346,0.0736,0.039610234
Aurand Run downstream,0.015375112,0.8658009,0.0579,0.048425011
Aurand Run upstream,0.031738404,0.911623265,0.0908625,0.014041055
Wetland Pool 1,0.026762173,0.205826448,0.342288889,0.017624305
Wetland Pool 11,0.020757087,0.155891927,0.5,0.040977694
Wetland Pool 12,0.03528404,0.039789591,0.598,0.029394568
Wetland Pool 14,0.070174939,0.88334976,0.041733333,0.04453313
Wetland Pool 15,0.044251245,0.368628687,0.067,0.067167123
Wetland Pool 16,0.062400655,0.214699953,0.34,0.0589692
Wetland Pool 18,0.017205017,0.503895282,0.12544,0.015311942
Wetland Pool 19,0.018710401,0.118801666,0.3717,0.037739293
Wetland Pool 2,0.019295193,0.122585207,0.032,0.068786323
Wetland Pool 20,0.076009801,0.95110044,0.0356,0.039550739
Wetland Pool 21,0.01720222,0.970137942,0.67,0.035165365
Wetland Pool 22,0.07821285,0.551215785,0.0515,0.01640405
Wetland Pool 24,0.042520402,0.638277739,0.67,0.044838655
Wetland Pool 25,0.026150288,0.376832883,0.07935,0.059555838
Wetland Pool 26,0.048938326,0.940684012,0.04,0.014372793
Wetland Pool 27,0.068326211,0.246177685,0.0639,0.040024199
Wetland Pool 28,0.013303098,0.346272851,0.02,0.07797906
Wetland Pool 29,0.079025844,0.940247271,0.2526,0.06238091
Wetland Pool 3,0.024800525,0.385940192,0.0445,0.025649282
Wetland Pool 30,0.061565786,0.559481702,0.4448,0.074843766
Wetland Pool 31,0.022789503,0.559107225,0.085266667,0.044930852
Wetland Pool 33,0.031781867,0.377684035,0.005,0.056792288
Wetland Pool 34,0.028711649,0.112513979,0.124766667,0.070911466
Wetland Pool 35,0.072402134,0.604900107,0.1732,0.029413226
Wetland Pool 36,0.060949643,0.43974833,1.9395,0.064266819
Wetland Pool 37,0.052242407,0.680588065,0.2,0.071805092
Wetland Pool 38,0.015391816,0.239638981,0.0737,0.057097659
Wetland Pool 39,0.022679477,0.787411752,0.0147,0.0300218
Wetland Pool 4,0.039211305,0.431382484,0.09705,0.065254798
Wetland Pool 40,0.016922434,0.184241209,0.04554,0.071131825
Wetland Pool 41,0.026748722,0.929883851,0.9,0.033581962
Wetland Pool 42,0.070541418,0.859448385,0.039575,0.019380568
Wetland Pool 43,0.064297638,0.596397886,0.261366667,0.055276653
Wetland Pool 5,0.042411242,0.820593202,0.2551,0.05670754
Wetland Pool 7,0.056766698,0.996619593,0.7,0.064746647
Wetland Pool 8,0.055778858,0.400661887,1.2161,0.053449291
Wetland Pool 9,0.075447772,0.072651274,0.2761,0.066886637
Wetland Pool 6,0.033528329,0.540761621,0.0598,0.060125982
Wetland Pool 13,0.037078953,0.724061355,0.7,0.048012241
Wetland Pool 10,0.03105925,0.240031954,0.44,0.014349793
Wetland Pool 17,0.060405657,0.045944305,0.011,0.0547552
Wetland Pool 32,0.015708537,0.524048114,0.3066,0.025265565
