group,A,B,C,D
Aurand Run connection to P1,0.089854525,0.05377709,0.03758246,0.077802717
Aurand Run downstream,0.051292203,0.091639335,0.012077361,0.073718822
Aurand Run upstream,0.054470318,0.108050842,0.050552607,0.037202875
Wetland Pool 1,0.035903936,0.049406166,0.01361279,0.055313066
Wetland Pool 11,0.090030253,0.035861464,0.071502431,0.023828126
Wetland Pool 12,0.103906077,0.082302856,0.066927791,0.016185687
Wetland Pool 14,0.059302038,0.03373052,0.039330072,0.021861329
Wetland Pool 15,0.09026036,0.036440481,0.013221432,0.059176263
Wetland Pool 16,0.059168852,0.02005482,0.06635696,0.060373253
Wetland Pool 18,0.011141025,0.067484371,0.053416432,0.050289834
Wetland Pool 19,0.056490045,0.086832537,0.049913916,0.066438545
Wetland Pool 2,0.07838171,0.076259252,0.06368221,0.079962868
Wetland Pool 20,0.099112032,0.049821596,0.033001217,0.069777344
Wetland Pool 21,0.072436086,0.03431891,0.025706071,0.0657154
Wetland Pool 22,0.073790365,0.084524937,0.063056404,0.025904633
Wetland Pool 24,0.042064914,0.045875971,0.021577947,0.057930202
Wetland Pool 25,0.041705877,0.02606372,0.043336279,0.029189111
Wetland Pool 26,0.039871423,0.05093631,0.07142685,0.066054704
Wetland Pool 27,0.081651519,0.073313371,0.013380903,0.067975928
Wetland Pool 28,0.030682672,0.024340076,0.064378293,0.036962491
Wetland Pool 29,0.035979495,0.017092305,0.01922576,0.057372872
Wetland Pool 3,0.109738404,0.087541259,0.067033007,0.021879549
Wetland Pool 30,0.044574989,0.098942414,0.039043207,0.010108668
Wetland Pool 31,0.109895074,0.016250851,0.069954185,0.079898589
Wetland Pool 33,0.031096333,0.08188278,0.05716095,0.04202692
Wetland Pool 34,0.01986128,0.101422886,0.025340581,0.018053776
Wetland Pool 35,0.063250115,0.033317938,0.059942561,0.031230281
Wetland Pool 36,0.101587276,0.061421499,0.074382978,0.044531662
Wetland Pool 37,0.063110104,0.01976282,0.072265968,0.024415775
Wetland Pool 38,0.046647212,0.078535922,0.079599622,0.073963322
Wetland Pool 39,0.103651828,0.023724607,0.044452926,0.040618256
Wetland Pool 4,0.103562362,0.084174229,0.014520197,0.028365648
Wetland Pool 40,0.103281676,0.101406981,0.072007248,0.06338685
Wetland Pool 41,0.081228833,0.042717839,0.062174205,0.013404917
Wetland Pool 42,0.035550687,0.089894228,0.041185658,0.041754088
Wetland Pool 43,0.031118077,0.075094959,0.063789859,0.066150473
Wetland Pool 5,0.016975995,0.040308142,0.014015641,0.065782945
Wetland Pool 7,0.109904083,0.031544322,0.056616571,0.056861208
Wetland Pool 8,0.094031426,0.080346598,0.074023012,0.055892114
Wetland Pool 9,0.073990604,0.032770244,0.041313337,0.020187191
Wetland Pool 6,0.014051689,0.072328328,0.05251127,0.040270494
Wetland Pool 13,0.040889008,0.08429716,0.07871539,0.069148854
Wetland Pool 10,0.042447599,0.062546172,0.015331026,0.058405873
Wetland Pool 17,0.023287193,0.082519824,0.013929682,0.042570218
Wetland Pool 32,0.031445328,0.068048155,0.072497084,0.015562196
